project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_best_case	Compare_SBFL_Better	Improvement_Case_MEANVSBESTCASE	spectra	tests	fail	pass	1_max	0_from_1_max	1_median	0_from_1_median	1_min	0_from_1_min
Lang	29	1049	1049	1049	1577	0	0	1167	423	1	422	136	1031	136	1031	136	1031
Lang	30	2	2	2	1.8	1	0	2203	413	10	403	36	2167	30	2173	7	2196
Lang	31	5	5	5	2.25	1	0	2192	402	2	400	32	2160	32	2160	30	2162
Lang	32	4	4	4	14.2	0	5	1217	45	1	44	77	1140	77	1140	77	1140
Lang	33	1346.5	1346.5	1346.5	4.5	1	-3	1331	113	1	112	59	1272	59	1272	59	1272
Lang	34	64	62	74	54	1	0	881	152	27	125	351	530	306	575	283	598
Lang	35	1	1	1	1.5	0	0	964	331	1	330	27	937	27	937	27	937
Lang	36	161.5	161.5	161.5	48.5	1	0	1634	65	2	63	195	1439	195	1439	155	1479
Lang	37	4	4	4	2.666666667	1	0	951	314	1	313	26	925	26	925	26	925
Lang	38	4	4	4	2.5	1	0	535	45	1	44	161	374	161	374	161	374
Lang	39	35.5	35.5	35.5	20.33333333	1	0	1113	198	1	197	51	1062	51	1062	51	1062
Lang	40	2	2	2	1.5	1	0	1083	196	1	195	4	1079	4	1079	4	1079
Lang	41	6	6	6	6	0	0	255	78	2	76	43	212	43	212	39	216
Lang	42	3	3	3	13	0	5	557	54	1	53	145	412	145	412	145	412
Lang	43	3	3	3	2.333333333	1	0	303	7	1	6	27	276	27	276	27	276
Lang	44	5	5	5	5	0	0	189	20	1	19	22	167	22	167	22	167
Lang	45	1	1	1	8	0	6	1245	81	1	80	24	1221	24	1221	24	1221
Lang	46	1	1	1	1.333333333	0	0	256	19	1	18	22	234	22	234	22	234
Lang	47	19.5	19.5	19.5	2.666666667	1	-5	1002	206	2	204	35	967	35	967	35	967
Lang	48	2	2	2	2	0	0	227	63	1	62	12	215	12	215	12	215
Lang	49	2	2	2	2.5	0	0	259	25	1	24	46	213	46	213	46	213
Lang	50	12	12	12	21.14285714	0	0	457	21	2	19	188	269	188	269	148	309
Lang	51	2	2	2	10.66666667	0	5	161	52	1	51	19	142	19	142	19	142
Lang	52	16	16	16	16.66666667	0	0	210	14	1	13	27	183	27	183	27	183
Lang	53	13	13	13	13.4	0	0	208	22	1	21	40	168	40	168	40	168
Lang	54	1	1	1	2.25	0	0	76	12	1	11	19	57	19	57	19	57
Lang	55	9	9	9	7	1	0	57	6	1	5	22	35	22	35	22	35
Lang	56	81.5	81.5	81.5	774	0	1	535	19	1	18	138	397	138	397	138	397
Lang	57	1	1	1	3.5	0	0	191	11	11	0	6	185	6	185	6	185
Lang	58	27	27	27	11	1	0	1336	74	1	73	54	1282	54	1282	54	1282
Lang	59	1	1	1	3.5	0	0	902	182	1	181	12	890	12	890	12	890
Lang	60	6	6	6	2.5	1	-6	961	185	1	184	64	897	64	897	64	897
Lang	61	27	26	27	7	1	-4	961	184	2	182	61	900	61	900	60	901
Lang	62	6	6	6	3.5	1	-6	336	42	1	41	101	235	101	235	101	235
Lang	63	2	2	2	1.333333333	1	0	1145	12	1	11	115	1030	115	1030	115	1030
Lang	64	1	1	1	1	0	0	1191	73	1	72	42	1149	42	1149	42	1149
Lang	65	4	4	4	7.428571429	0	6	186	21	1	20	23	163	23	163	23	163
Math	1	5	4	6	15.66666667	0	5	2539	305	2	303	456	2083	456	2083	434	2105
Math	2	93.5	93.5	93.5	47.5	1	0	2069	16	1	15	138	1931	138	1931	138	1931
Math	3	7	7	7	7.333333333	0	0	503	1065	1	1064	18	485	18	485	18	485
Math	4	2	2	2	4.4	0	0	3149	52	2	50	190	2959	190	2959	183	2966
Math	5	2	2	2	1.5	1	0	231	241	1	240	20	211	20	211	20	211
Math	6	253	244	285	115	1	-1	9146	228	28	200	1221	7925	1213	7933	313	8833
Math	7	46	46	46	41	1	0	2921	168	1	167	986	1935	986	1935	986	1935
Math	8	3	3	3	3.5	0	0	973	22	1	21	125	848	125	848	125	848
Math	9	3	3	3	2.5	1	0	2161	35	1	34	113	2048	113	2048	113	2048
Math	10	11	11	11	11	0	0	2285	351	1	350	341	1944	341	1944	341	1944
Math	11	300.5	300.5	300.5	95.5	1	-1	7036	10	1	9	574	6462	574	6462	574	6462
Math	12	5389.5	5389.5	5389.5	9498	0	0	2391	656	3	653	386	2005	323	2068	288	2103
Math	13	133	133	133	197.5	0	0	7555	88	1	87	206	7349	206	7349	206	7349
Math	14	43	43	43	99	0	0	6616	92	1	91	167	6449	167	6449	167	6449
Math	15	2	2	2	43	0	5	2863	2792	1	2791	796	2067	796	2067	796	2067
Math	16	4	4	4	1.5	1	0	2850	2790	2	2788	704	2146	704	2146	703	2147
Math	17	386	386	386	90	1	-1	1206	81	1	80	717	489	717	489	717	489
Math	18	3	3	3	20.33333333	0	5	7205	26	1	25	1111	6094	1111	6094	1111	6094
Math	19	366	366	366	63	1	-1	2814	25	1	24	668	2146	668	2146	668	2146
Math	20	575.5	575.5	575.5	3676	0	0	7172	24	1	23	1064	6108	1064	6108	1064	6108
Math	21	6	6	6	42.91666667	0	4	5390	24	2	22	214	5176	214	5176	209	5181
