project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_mean_average	rank_min_average	rank_max_average	rank_mean_worst	rank_min_worst	rank_max_worst	exam_mean_best	exam_min_best	exam_max_best	exam_mean_average	exam_min_average	exam_max_average	exam_mean_worst	exam_min_worst	exam_max_worst
Closure	15	60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5	0.001520482533299824	0.001520482533299824	0.001520482533299824	0.001520482533299824	0.001520482533299824	0.001520482533299824	0.001520482533299824	0.001520482533299824	0.001520482533299824
Closure	16	170.0	157.5	169.0	3825.5	3825.5	3825.5	26003.0	26003.0	26003.0	0.003819280627260677	0.0035384511693738628	0.003796814270629732	0.0859450472916807	0.0859450472916807	0.0859450472916807	0.584192671474467	0.584192671474467	0.584192671474467
Closure	17	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0002698108625853277	0.0002698108625853277	0.0002698108625853277	0.0002698108625853277	0.0002698108625853277	0.0002698108625853277	0.0002698108625853277	0.0002698108625853277	0.0002698108625853277
Closure	18	2397.0	2397.0	2397.0	2397.0	2397.0	2397.0	2397.0	2397.0	2397.0	0.0600676606941486	0.0600676606941486	0.0600676606941486	0.0600676606941486	0.0600676606941486	0.0600676606941486	0.0600676606941486	0.0600676606941486	0.0600676606941486
Closure	19	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	0.00016325197943025058	0.00016325197943025058	0.00016325197943025058	0.00016325197943025058	0.00016325197943025058	0.00016325197943025058	0.00016325197943025058	0.00016325197943025058	0.00016325197943025058
Closure	2	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.00026486558071778574	0.00026486558071778574	0.00026486558071778574	0.00026486558071778574	0.00026486558071778574	0.00026486558071778574	0.00026486558071778574	0.00026486558071778574	0.00026486558071778574
Closure	20	1533.5	1533.5	1533.5	1533.5	1533.5	1533.5	1533.5	1533.5	1533.5	0.04340012452595234	0.04340012452595234	0.04340012452595234	0.04340012452595234	0.04340012452595234	0.04340012452595234	0.04340012452595234	0.04340012452595234	0.04340012452595234
Closure	21	7.0	7.0	7.0	83.0	83.0	83.0	19032.0	19032.0	19032.0	0.00020099348206851006	0.00020099348206851006	0.00020099348206851006	0.002383208430240905	0.002383208430240905	0.002383208430240905	0.5464725643896976	0.5464725643896976	0.5464725643896976
Closure	22	1.0	1.0	1.0	1698.0	1698.0	1698.0	19035.0	19035.0	19035.0	2.870840869290615e-05	2.870840869290615e-05	2.870840869290615e-05	0.048746877960554644	0.048746877960554644	0.048746877960554644	0.5464645594694686	0.5464645594694686	0.5464645594694686
Closure	23	67.0	67.0	67.0	18540.0	18540.0	18540.0	18540.0	18540.0	18540.0	0.0019352975158867707	0.0019352975158867707	0.0019352975158867707	0.5355285961871751	0.5355285961871751	0.5355285961871751	0.5355285961871751	0.5355285961871751	0.5355285961871751
Closure	24	3.0	3.0	3.0	57.0	57.0	57.0	62.0	62.0	62.0	9.416195856873823e-05	9.416195856873823e-05	9.416195856873823e-05	0.0017890772128060263	0.0017890772128060263	0.0017890772128060263	0.0019460138104205901	0.0019460138104205901	0.0019460138104205901
Closure	25	71.0	71.0	71.0	2029.5	2029.5	2029.5	2029.5	2029.5	2029.5	0.001953716188327234	0.001953716188327234	0.001953716188327234	0.055846014143804516	0.055846014143804516	0.055846014143804516	0.055846014143804516	0.055846014143804516	0.055846014143804516
Closure	26	20.0	18.0	24.0	4221.0	4221.0	4221.0	31391.5	31391.5	31391.5	0.0003666697222476854	0.00033000275002291685	0.0004400036666972225	0.077385644880374	0.077385644880374	0.077385644880374	0.5755156292969108	0.5755156292969108	0.5755156292969108
Closure	27	1.0	1.0	1.0	592.0	592.0	592.0	1144.5	1144.5	1144.5	0.000445632798573975	0.000445632798573975	0.000445632798573975	0.2638146167557932	0.2638146167557932	0.2638146167557932	0.5100267379679144	0.5100267379679144	0.5100267379679144
Closure	28	20303.0	20303.0	20303.0	20303.0	20303.0	20303.0	20303.0	20303.0	20303.0	0.5525076877023974	0.5525076877023974	0.5525076877023974	0.5525076877023974	0.5525076877023974	0.5525076877023974	0.5525076877023974	0.5525076877023974	0.5525076877023974
Closure	29	5027.0	5027.0	5027.0	5027.0	5027.0	5027.0	34630.5	34630.5	34630.5	0.08470378108782099	0.08470378108782099	0.08470378108782099	0.08470378108782099	0.08470378108782099	0.08470378108782099	0.5835158724809597	0.5835158724809597	0.5835158724809597
Closure	3	2384.0	2384.0	2384.0	2384.0	2384.0	2384.0	2384.0	2384.0	2384.0	0.057441630725489724	0.057441630725489724	0.057441630725489724	0.057441630725489724	0.057441630725489724	0.057441630725489724	0.057441630725489724	0.057441630725489724	0.057441630725489724
Closure	30	81.0	75.0	89.0	2185.5	2185.5	2185.5	2185.5	2185.5	2185.5	0.0020661684054791725	0.0019131188939621967	0.00227023442083514	0.05574828457005841	0.05574828457005841	0.05574828457005841	0.05574828457005841	0.05574828457005841	0.05574828457005841
Closure	31	1710.5	1710.5	1710.5	1710.5	1710.5	1710.5	1710.5	1710.5	1710.5	0.044844401331830215	0.044844401331830215	0.044844401331830215	0.044844401331830215	0.044844401331830215	0.044844401331830215	0.044844401331830215	0.044844401331830215	0.044844401331830215
Closure	32	72.0	108.0	50.0	162.0	166.0	129.0	21681.5	21681.5	21681.5	0.0018449238968892532	0.00276738584533388	0.001281197150617537	0.00415107876800082	0.004253574540050223	0.0033054886485932456	0.5555655204222826	0.5555655204222826	0.5555655204222826
Closure	33	2802.5	2802.5	2802.5	2802.5	2802.5	2802.5	2802.5	2802.5	2802.5	0.07658359293873312	0.07658359293873312	0.07658359293873312	0.07658359293873312	0.07658359293873312	0.07658359293873312	0.07658359293873312	0.07658359293873312	0.07658359293873312
Closure	34	28.0	28.0	28.0	1956.0	1956.0	1956.0	3658.0	3658.0	3658.0	0.003911160776644783	0.003911160776644783	0.003911160776644783	0.2732225171113284	0.2732225171113284	0.2732225171113284	0.5109652186059506	0.5109652186059506	0.5109652186059506
Closure	35	26.0	26.0	26.0	11644.0	11644.0	11644.0	20891.0	20891.0	20891.0	0.0007122116912288391	0.0007122116912288391	0.0007122116912288391	0.3189612666411001	0.3189612666411001	0.3189612666411001	0.5722620939023723	0.5722620939023723	0.5722620939023723
Closure	36	4903.5	4903.5	4903.5	4903.5	4903.5	4903.5	4903.5	4903.5	4903.5	0.0856491589666556	0.0856491589666556	0.0856491589666556	0.0856491589666556	0.0856491589666556	0.0856491589666556	0.0856491589666556	0.0856491589666556	0.0856491589666556
Closure	37	1205.5	1205.5	1205.5	1205.5	1205.5	1205.5	1205.5	1205.5	1205.5	0.03175460316624081	0.03175460316624081	0.03175460316624081	0.03175460316624081	0.03175460316624081	0.03175460316624081	0.03175460316624081	0.03175460316624081	0.03175460316624081
Closure	38	772.0	772.0	772.0	772.0	772.0	772.0	772.0	772.0	772.0	0.028082939250636596	0.028082939250636596	0.028082939250636596	0.028082939250636596	0.028082939250636596	0.028082939250636596	0.028082939250636596	0.028082939250636596	0.028082939250636596
Closure	39	4.0	4.0	4.0	26.0	26.0	27.0	45.0	44.0	45.0	0.000563856780377784	0.000563856780377784	0.000563856780377784	0.003665069072455596	0.003665069072455596	0.0038060332675500423	0.006343388779250071	0.006202424584155625	0.006343388779250071
Closure	4	2702.5	2702.5	2702.5	12193.0	12193.0	12193.0	12193.0	12193.0	12193.0	0.06964847172826143	0.06964847172826143	0.06964847172826143	0.3142363795680635	0.3142363795680635	0.3142363795680635	0.3142363795680635	0.3142363795680635	0.3142363795680635
