project_id	bug_id	temp_len	sloc	sloc_total	buggy_line	is_omission	is_not_found	shap_max	shap_min	shap_mean	buggy_line_max	buggy_line_min	buggy_line_mean
Mockito	18	303	2942	10518	org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#87	1	0	1	1	1	org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#87	org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#87	org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#87
Mockito	2	293	3970	10998	org.mockito.internal.util.Timer#3	1	0	16	16	16	org.mockito.internal.util.Timer#10	org.mockito.internal.util.Timer#10	org.mockito.internal.util.Timer#10
Mockito	2	293	3970	10998	org.mockito.internal.util.Timer#10	1	0	16	16	16	org.mockito.internal.util.Timer#10	org.mockito.internal.util.Timer#10	org.mockito.internal.util.Timer#10
Mockito	2	293	3970	10998	org.mockito.internal.util.Timer#28	1	0	16	16	16	org.mockito.internal.util.Timer#10	org.mockito.internal.util.Timer#10	org.mockito.internal.util.Timer#10
Mockito	20	937	6328	11629	org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker#34	0	0	217	261	252			
Mockito	20	937	6328	11629	org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker#32	1	0	217	257	252	org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker#34	org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker#32	org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker#34
Mockito	21	224	2743	10721	org.mockito.internal.creation.instance.ConstructorInstantiator#17	0	0	8	8	8			
Mockito	21	224	2743	10721	org.mockito.internal.creation.instance.ConstructorInstantiator#24	0	0	2	2	2			
Mockito	21	224	2743	10721	org.mockito.internal.creation.instance.ConstructorInstantiator#25	0	0	3	3	3			
Mockito	21	224	2743	10721	org.mockito.internal.creation.instance.ConstructorInstantiator#29	1	0	3	3	3	org.mockito.internal.creation.instance.ConstructorInstantiator#25	org.mockito.internal.creation.instance.ConstructorInstantiator#25	org.mockito.internal.creation.instance.ConstructorInstantiator#25
Mockito	21	224	2743	10721	org.mockito.internal.creation.instance.ConstructorInstantiator#36	1	0	2	2	2	org.mockito.internal.creation.instance.ConstructorInstantiator#24	org.mockito.internal.creation.instance.ConstructorInstantiator#24	org.mockito.internal.creation.instance.ConstructorInstantiator#24
Mockito	22	211	2705	10498	org.mockito.internal.matchers.Equality#13	0	0	9	9	9			
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#44	0	0	319.5	319.5	319.5			
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#45	0	0	319.5	319.5	319.5			
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#114	0	0	319.5	319.5	319.5			
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#52	1	0	319.5	319.5	319.5	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#52	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#52	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#52
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#59	1	0	319.5	319.5	319.5	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#51	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#51	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#51
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#60	1	0	319.5	319.5	319.5	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#51	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#51	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#51
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#100	1	0	319.5	319.5	319.5	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#99	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#99	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#99
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#123	1	0	319.5	319.5	319.5	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#114	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#114	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#114
Mockito	23	679	5134	10405	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#124	1	0	319.5	319.5	319.5	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#114	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#114	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#114
Mockito	24	651	8614	10400	org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#76	0	0	1	1	1			
Mockito	25	618	8349	10035	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#53	0	0	355	355	355			
Mockito	25	618	8349	10035	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#68	0	0	355	355	355			
Mockito	25	618	8349	10035	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#82	0	0	355	355	355			
Mockito	25	618	8349	10035	org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#83	0	0	58	50	56			
